kanji,meanings
古,"old"
明,"bright, light"
自,"oneself"
丸,"round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away"
朝,"morning, dynasty, regime, epoch, period, (North) Korea"
元,"beginning, former time, origin"
万,"ten thousand"
首,"neck"
直,"straightaway, honesty, frankness, fix, repair"
工,"craft, construction"
刀,"sword, saber, knife"
切,"cut, cutoff, be sharp"
母,"mama, mother"
兄,"elder brother, big brother"
少,"few, little"
多,"many, frequent, much"
外,"outside"
光,"ray, light"
太,"plump, fat, thick, big around"
原,"meadow, original, primitive, field, plain, prairie, tundra, wilderness"
活,"lively, resuscitation, being helped, living"
寺,"Buddhist temple"
時,"time, hour"
点,"spot, point, mark, speck, decimal point"
魚,"fish"
里,"ri, village, parent's home, league"
黒,"black"
同,"same, agree, equal"
妹,"younger sister"
牛,"cow"
茶,"tea"
合,"fit, suit, join, 0.1"
理,"logic, arrangement, reason, justice, truth"
道,"road-way, street, district, journey, course, moral, teachings"
前,"in front, before"
夏,"summer"
高,"tall, high, expensive"
京,"capital, 10**16"
週,"week"
売,"sell"
書,"write"
言,"say"
計,"plot, plan, scheme, measure"
話,"tale, talk"
語,"word, speech, language"
読,"read"
止,"stop, halt"
歩,"walk"
走,"run"
遠,"distant, far"
市,"market, city, town"
姉,"elder sister"
雲,"cloud"
冬,"winter"
北,"north"
毎,"every"
海,"sea, ocean"
歌,"song, sing"
方,"direction, person, alternative"
東,"east"
地,"ground, earth"
池,"pond, cistern, pool, reservoir"
風,"wind, air, style, manner"
記,"scribe, account, narrative"
電,"electricity"
家,"house, home"
場,"location, place"
午,"noon"
羽,"feathers, counter for birds, rabbits"
曜,"weekday"
国,"country"
園,"park, garden, yard, farm"
回,"#NAME?"
店,"store, shop"
心,"heart, mind, spirit"
思,"think"
才,"genius, years old"
友,"friend"
広,"wide, broad, spacious"
台,"pedestal, a stand, counter for machines and vehicles"
会,"meeting, meet, party, association, interview, join"
室,"room, apartment, chamber, greenhouse, cellar"
岩,"boulder, rock, cliff"
分,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/10"
公,"public, prince, official, governmental"
谷,"valley"
買,"buy"
行,"going, journey"
秋,"autumn"
米,"rice, USA"
数,"number, strength, fate, law, figures"
算,"calculate, divining, number, abacus, probability"
答,"solution, answer"
体,"body, substance, object, reality, counter for images"
何,"what"
内,"inside, within, between, among, house, home"
肉,"meat"
夜,"night, evening"
昼,"daytime, noon"
戸,"door"
社,"company, firm, office, association, shrine"
近,"near, early, akin, tantamount"
作,"make, production, prepare, build"
雪,"snow"
当,"hit, right, appropriate, himself"
画,"brush-stroke, picture"
科,"department, course, section"
図,"map, drawing, plan, unexpected, accidentally"
用,"utilize, business, service, use, employ"
半,"half, middle, odd number, semi-, part-"
矢,"dart, arrow"
知,"know, wisdom"
帰,"homecoming, arrive at, lead to, result in"
弓,"bow, bow (archery, violin)"
引,"pull, tug, jerk, admit, install, quote, refer to"
強,"strong"
弱,"weak, frail"
弟,"younger brother, faitherful service to elders"
考,"consider, think over"
教,"teach, faith, doctrine"
父,"father"
交,"mingle, mixing, association, coming & going"
線,"line, track"
絵,"picture, drawing, painting, sketch"
細,"dainty, get thin, taper, slender, narrow"
後,"behind, back, later"
通,"traffic, pass through, avenue, commute, counter for letters"
頭,"head, counter for large animals"
食,"eat, food"
新,"new"
親,"parent, intimacy, relative, familiarity, dealer (cards)"
麦,"barley, wheat"
晴,"clear up"
星,"star, spot, dot, mark"
春,"springtime, spring (season)"
今,"now"
野,"plains, field, rustic, civilian life"
西,"west, Spain"
南,"south"
門,"gates"
間,"interval, space"
聞,"hear, ask, listen"
形,"shape, form, style"
顔,"face, expression"
楽,"music, comfort, ease"
黄,"yellow"
色,"color"
組,"association, braid, plait, construct, assemble, unite, cooperate, grapple"
角,"angle, corner, square"
紙,"paper"
船,"ship, boat"
来,"come, due, next, cause, become"
汽,"vapor, steam"
声,"voice"
番,"turn, number in a series"
毛,"fur, hair, feather, down"
長,"long, leader"
鳥,"bird, chicken"
鳴,"chirp, cry, bark, sound, ring, echo, honk"
馬,"horse"
